FECHA_DE_VUELO|OPERADOR|NUMERO_DE_VUELO|RUTA|ESTACION_COMPENSA|ESTACION_EMITE_HOTEL|ESTACION_EMITE_ALIMENTACION|ESTACION_EMITE_TRANSPORTE|CABINA_POR_CLASE|CLASE_SERVICIO|Motivo|COMPENSACION_EN_EUROS
04.05.2016|EX|792|FRAKEF|FRA|FRA|||Y||Cancelled|109
04.05.2016|EX|792|FRAKEF|FRA|FRA|||Y||Cancelled|109
12.05.2016|EX|792|FRAKEF|FRA||||Y||Cancelled|255
12.05.2016|EX|792|FRAKEF|FRA||||C||Cancelled|255
28.05.2016|EX|759|POMFRA|POM||||Y||Voluntary DB|255
25.05.2016|EX|792|FRAKEF|FRA||||Y||Cancelled|255
19.05.2016|EX|792|FRAKEF|FRA||||Y||Cancelled|255
22.05.2016|EX|84|FRAOSL|FRA||||Y||Delayed|306
31.05.2016|EX|795|KEFFRA|KEF||||Y||Cancelled|221
01.05.2016|EX|2898|PRNCRL|PRN||PRN||Y|S|Delayed ECR|51
01.05.2016|EX|942|BRULHR|BRU||||Y|T|Delayed|85
01.05.2016|EX|2472|CRLLGG|CRL||||Y|S|Delayed|51
01.05.2016|EX|2472|CRLLGG|CRL||||Y|S|Delayed|51
01.05.2016|EX|2472|CRLLGG|CRL||||Y|W|Delayed|51
01.05.2016|EX|2472|CRLLGG|CRL||||Y|W|Delayed|51
01.05.2016|EX|2472|CRLLGG|CRL||||Y|U|Delayed|51
01.05.2016|EX|2472|CRLLGG|CRL||||Y|S|Delayed|51
01.05.2016|EX|2472|CRLLGG|CRL||||Y|S|Delayed|51
01.05.2016|EX|2475|LGGCRL|LGG||LGG||Y|Z|Delayed|10
01.05.2016|EX|2475|LGGCRL|LGG||LGG||Y|W|Delayed|10
01.05.2016|EX|2475|LGGCRL|LGG||LGG||Y|T|Delayed|10
01.05.2016|EX|2475|LGGCRL|LGG||LGG||Y|W|Delayed|10
01.05.2016|EX|2475|LGGCRL|LGG||LGG||C|D|Delayed|10
01.05.2016|EX|2475|LGGCRL|LGG||LGG||Y|E|Delayed|10
01.05.2016|EX|2475|LGGCRL|LGG||LGG||Y|E|Delayed|10
01.05.2016|EX|11082|SXFCRL|SXF||||Y|W|Involuntary DB|170
01.05.2016|EX|5061|DRSSXF|DRS||DRS||Y|G|Delayed|0
01.05.2016|EX|5061|DRSSXF|DRS||DRS||Y|G|Delayed|0
01.05.2016|EX|5061|DRSSXF|DRS||DRS||Y|G|Delayed|0
01.05.2016|EX|1680|LHRRMS|LHR||||Y|Z|Involuntary DB|340
01.05.2016|EX|1680|LHRRMS|LHR|||LHR|Y|W|Involuntary DB|442
01.05.2016|EX|14785|HAMMUC|HAM|HAM||HAM|Y|Y|Delayed ECR|119
01.05.2016|EX|14785|HAMMUC|HAM|HAM||HAM|Y|Y|Delayed ECR|119
01.05.2016|EX|14785|HAMMUC|HAM|HAM||HAM|Y|Y|Delayed ECR|119
01.05.2016|EX|14785|HAMMUC|HAM|HAM||HAM|Y|Y|Delayed ECR|119
01.05.2016|EX|14785|HAMMUC|HAM|HAM||HAM|Y|Y|Delayed ECR|119
01.05.2016|EX|14785|HAMMUC|HAM|||HAM|Y|Y|Delayed ECR|24
01.05.2016|EX|1722|LHRDUS|LHR|LHR|||Y|L|Cancelled|228
01.05.2016|EX|1722|LHRDUS|LHR|LHR|||Y|U|Cancelled|228
01.05.2016|EX|1722|LHRDUS|LHR|LHR|||Y|U|Cancelled|228
01.05.2016|EX|783|FRABZZ|FRA|FRA|||Y|X|Voluntary DB|616
02.05.2016|EX|14284|CGNFRA|CGN||||Y|W|Involuntary DB|120
02.05.2016|EX|13854|DTMFRA|FRA||FRA||Y|W|Delayed ECR|10
02.05.2016|EX|1725|DUSLHR|LHR||LHR||Y|U|Delayed|2
